q,psi
-0.95,0.0
-0.95,0.0
-0.95,0.0
-0.95,0.0
-0.95,0.0
-0.95,0.0
-0.95,0.0
-0.95,0.0
-0.95,0.0
-0.95,0.0
-0.85,0.0
-0.85,0.0
-0.85,0.0
-0.85,0.0
-0.85,0.0
-0.85,0.0
-0.85,0.0
-0.85,0.0
-0.85,0.0
-0.85,0.0
-0.75,0.0
-0.75,0.0
-0.75,0.0
-0.75,0.0
-0.75,0.0
-0.75,0.0
-0.75,0.0
-0.75,0.0
-0.75,0.0
-0.75,0.0
-0.65,0.0
-0.65,0.0
-0.65,0.0
-0.65,0.0
-0.65,0.0
-0.65,0.0
-0.65,0.0
-0.65,0.0
-0.65,0.0
-0.65,0.0
-0.55,0.0
-0.55,0.0
-0.55,0.0
-0.55,0.0
-0.55,0.0
-0.55,0.0
-0.55,0.0
-0.55,0.0
-0.55,0.0
-0.55,0.0
-0.45,0.0
-0.45,0.0
-0.45,0.0
-0.45,0.0
-0.45,0.0
-0.45,0.0
-0.45,0.0
-0.45,0.0
-0.45,0.0
-0.45,0.0
-0.35,0.0
-0.35,0.0
-0.35,0.0
-0.35,0.0
-0.35,0.0
-0.35,0.0
-0.35,0.0
-0.35,0.0
-0.35,0.0
-0.35,0.0
-0.25,0.0
-0.25,0.0
-0.25,0.0
-0.25,0.0
-0.25,0.0
-0.25,0.0
-0.25,0.0
-0.25,0.0
-0.25,0.0
-0.25,0.0
-0.15,0.0
-0.15,0.0
-0.15,0.0
-0.15,0.0
-0.15,0.0
-0.15,0.0
-0.15,0.0
-0.15,0.0
-0.15,0.0
-0.15,0.0
-0.05,0.0
-0.05,0.0
-0.05,0.0
-0.05,0.0
-0.05,0.0
-0.05,0.0
-0.05,0.0
-0.05,0.0
-0.05,0.0
-0.05,0.0
0.05,0.0
0.05,0.0
0.05,0.0
0.05,0.0
0.05,0.0
0.05,0.0
0.05,0.0
0.05,0.0
0.05,0.0
0.05,0.0
0.15,0.0
0.15,0.0
0.15,0.0
0.15,0.0
0.15,0.0
0.15,0.0
0.15,0.0
0.15,0.0
0.15,0.0
0.15,0.0
0.25,0.0
0.25,0.0
0.25,0.0
0.25,0.0
0.25,0.0
0.25,0.0
0.25,0.0
0.25,0.0
0.25,0.0
0.25,0.0
0.35,0.0
0.35,0.0
0.35,0.0
0.35,0.0
0.35,0.0
0.35,0.0
0.35,0.0
0.35,0.0
0.35,0.0
0.35,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.55,0.0
0.55,0.0
0.55,0.0
0.55,0.0
0.55,0.0
0.55,0.0
0.55,0.0
0.55,0.0
0.55,0.0
0.55,0.0
0.65,0.0
0.65,0.0
0.65,0.0
0.65,0.0
0.65,0.0
0.65,0.0
0.65,0.0
0.65,0.0
0.65,0.0
0.65,0.0
0.75,0.0
0.75,0.0
0.75,0.0
0.75,0.0
0.75,0.0
0.75,0.0
0.75,0.0
0.75,0.0
0.75,0.0
0.75,0.0
0.85,0.0
0.85,0.0
0.85,0.0
0.85,0.0
0.85,0.0
0.85,0.0
0.85,0.0
0.85,0.0
0.85,0.0
0.85,0.0
0.95,0.0
0.95,0.0
0.95,0.0
0.95,0.0
0.95,0.0
0.95,0.0
0.95,0.0
0.95,0.0
0.95,0.0
0.95,0.0
-0.95,-0.01
-0.96,-0.02
-0.95,-0.02
-0.95,-0.03
-0.95,-0.03
-0.95,-0.02
-0.95,-0.02
-0.95,-0.02
-0.95,-0.01
-0.95,-0.01
-0.85,-0.02
-0.86,-0.05
-0.86,-0.07
-0.85,-0.07
-0.85,-0.08
-0.85,-0.07
-0.85,-0.07
-0.85,-0.06
-0.85,-0.04
-0.86,-0.02
-0.76,-0.03
-0.76,-0.07
-0.76,-0.1
-0.76,-0.12
-0.76,-0.12
-0.76,-0.12
-0.76,-0.11
-0.76,-0.09
-0.76,-0.06
-0.76,-0.03
-0.66,-0.04
-0.66,-0.09
-0.66,-0.13
-0.66,-0.15
-0.66,-0.15
-0.66,-0.15
-0.66,-0.13
-0.66,-0.11
-0.66,-0.08
-0.66,-0.03
-0.56,-0.04
-0.56,-0.11
