Variable_0,Variable_1,Variable_2
0.05,-0.95,0.0
0.15,-0.95,0.0
0.25,-0.95,0.0
0.35,-0.95,0.0
0.45,-0.95,0.0
0.55,-0.95,0.0
0.65,-0.95,0.0
0.75,-0.95,0.0
0.85,-0.95,0.0
0.95,-0.95,0.0
0.05,-0.85,0.0
0.15,-0.85,0.0
0.25,-0.85,0.0
0.35,-0.85,0.0
0.45,-0.85,0.0
0.55,-0.85,0.0
0.65,-0.85,0.0
0.75,-0.85,0.0
0.85,-0.85,0.0
0.95,-0.85,0.0
0.05,-0.75,0.0
0.15,-0.75,0.0
0.25,-0.75,0.0
0.35,-0.75,0.0
0.45,-0.75,0.0
0.55,-0.75,0.0
0.65,-0.75,0.0
0.75,-0.75,0.0
0.85,-0.75,0.0
0.95,-0.75,0.0
0.05,-0.65,0.0
0.15,-0.65,0.0
0.25,-0.65,0.0
0.35,-0.65,0.0
0.45,-0.65,0.0
0.55,-0.65,0.0
0.65,-0.65,0.0
0.75,-0.65,0.0
0.85,-0.65,0.0
0.95,-0.65,0.0
0.05,-0.55,0.0
0.15,-0.55,0.0
0.25,-0.55,0.0
0.35,-0.55,0.0
0.45,-0.55,0.0
0.55,-0.55,0.0
0.65,-0.55,0.0
0.75,-0.55,0.0
0.85,-0.55,0.0
0.95,-0.55,0.0
0.05,-0.45,0.0
0.15,-0.45,0.0
0.25,-0.45,0.0
0.35,-0.45,0.0
0.45,-0.45,0.0
0.55,-0.45,0.0
0.65,-0.45,0.0
0.75,-0.45,0.0
0.85,-0.45,0.0
0.95,-0.45,0.0
0.05,-0.35,0.0
0.15,-0.35,0.0
0.25,-0.35,0.0
0.35,-0.35,0.0
0.45,-0.35,0.0
0.55,-0.35,0.0
0.65,-0.35,0.0
0.75,-0.35,0.0
0.85,-0.35,0.0
0.95,-0.35,0.0
0.05,-0.25,0.0
0.15,-0.25,0.0
0.25,-0.25,0.0
0.35,-0.25,0.0
0.45,-0.25,0.0
0.55,-0.25,0.0
0.65,-0.25,0.0
0.75,-0.25,0.0
0.85,-0.25,0.0
0.95,-0.25,0.0
0.05,-0.15,0.0
0.15,-0.15,0.0
0.25,-0.15,0.0
0.35,-0.15,0.0
0.45,-0.15,0.0
0.55,-0.15,0.0
0.65,-0.15,0.0
0.75,-0.15,0.0
0.85,-0.15,0.0
0.95,-0.15,0.0
0.05,-0.05,0.0
0.15,-0.05,0.0
0.25,-0.05,0.0
0.35,-0.05,0.0
0.45,-0.05,0.0
0.55,-0.05,0.0
0.65,-0.05,0.0
0.75,-0.05,0.0
0.85,-0.05,0.0
0.95,-0.05,0.0
0.05,0.05,0.0
0.15,0.05,0.0
0.25,0.05,0.0
0.35,0.05,0.0
0.45,0.05,0.0
0.55,0.05,0.0
0.65,0.05,0.0
0.75,0.05,0.0
0.85,0.05,0.0
0.95,0.05,0.0
0.05,0.15,0.0
0.15,0.15,0.0
0.25,0.15,0.0
0.35,0.15,0.0
0.45,0.15,0.0
0.55,0.15,0.0
0.65,0.15,0.0
0.75,0.15,0.0
0.85,0.15,0.0
0.95,0.15,0.0
0.05,0.25,0.0
0.15,0.25,0.0
0.25,0.25,0.0
0.35,0.25,0.0
0.45,0.25,0.0
0.55,0.25,0.0
0.65,0.25,0.0
0.75,0.25,0.0
0.85,0.25,0.0
0.95,0.25,0.0
0.05,0.35,0.0
0.15,0.35,0.0
0.25,0.35,0.0
0.35,0.35,0.0
0.45,0.35,0.0
0.55,0.35,0.0
0.65,0.35,0.0
0.75,0.35,0.0
0.85,0.35,0.0
0.95,0.35,0.0
0.05,0.45,0.0
0.15,0.45,0.0
0.25,0.45,0.0
0.35,0.45,0.0
0.45,0.45,0.0
0.55,0.45,0.0
0.65,0.45,0.0
0.75,0.45,0.0
0.85,0.45,0.0
0.95,0.45,0.0
0.05,0.55,0.0
0.15,0.55,0.0
0.25,0.55,0.0
0.35,0.55,0.0
0.45,0.55,0.0
0.55,0.55,0.0
0.65,0.55,0.0
0.75,0.55,0.0
0.85,0.55,0.0
0.95,0.55,0.0
0.05,0.65,0.0
0.15,0.65,0.0
0.25,0.65,0.0
0.35,0.65,0.0
0.45,0.65,0.0
0.55,0.65,0.0
0.65,0.65,0.0
0.75,0.65,0.0
0.85,0.65,0.0
0.95,0.65,0.0
0.05,0.75,0.0
0.15,0.75,0.0
0.25,0.75,0.0
0.35,0.75,0.0
0.45,0.75,0.0
0.55,0.75,0.0
0.65,0.75,0.0
0.75,0.75,0.0
0.85,0.75,0.0
0.95,0.75,0.0
0.05,0.85,0.0
0.15,0.85,0.0
0.25,0.85,0.0
0.35,0.85,0.0
0.45,0.85,0.0
0.55,0.85,0.0
0.65,0.85,0.0
0.75,0.85,0.0
0.85,0.85,0.0
0.95,0.85,0.0
0.05,0.95,0.0
0.15,0.95,0.0
0.25,0.95,0.0
0.35,0.95,0.0
0.45,0.95,0.0
0.55,0.95,0.0
0.65,0.95,0.0
0.75,0.95,0.0
0.85,0.95,0.0
0.95,0.95,0.0
0.05,-0.95,0.01
0.15,-0.95,0.01
0.25,-0.95,0.01
0.35,-0.95,0.01
0.45,-0.95,0.01
0.55,-0.95,0.01
0.65,-0.95,0.01
0.75,-0.95,0.01
0.85,-0.95,0.01
0.95,-0.95,0.01
0.05,-0.85,0.01
0.15,-0.85,0.01
0.25,-0.85,0.01
0.35,-0.85,0.01
0.45,-0.85,0.01
0.55,-0.85,0.01
0.65,-0.85,0.01
0.75,-0.85,0.01
0.85,-0.85,0.01
0.95,-0.85,0.01
0.05,-0.75,0.01
0.15,-0.75,0.01
0.25,-0.75,0.01
0.35,-0.75,0.01
0.45,-0.75,0.01
0.55,-0.75,0.01
0.65,-0.75,0.01
0.75,-0.75,0.01
0.85,-0.75,0.01
0.95,-0.75,0.01
0.05,-0.65,0.01
0.15,-0.65,0.01
0.25,-0.65,0.01
0.35,-0.65,0.01
0.45,-0.65,0.01
0.55,-0.65,0.01
0.65,-0.65,0.01
0.75,-0.65,0.01
0.85,-0.65,0.01
0.95,-0.65,0.01
0.05,-0.55,0.01
0.15,-0.55,0.01
0.25,-0.55,0.01
0.35,-0.55,0.01
0.45,-0.55,0.01
0.55,-0.55,0.01
0.65,-0.55,0.01
0.75,-0.55,0.01
0.85,-0.55,0.01
0.95,-0.55,0.01
0.05,-0.45,0.01
0.15,-0.45,0.01
0.25,-0.45,0.01
0.35,-0.45,0.01
0.45,-0.45,0.01
0.55,-0.45,0.01
0.65,-0.45,0.01
0.75,-0.45,0.01
0.85,-0.45,0.01
0.95,-0.45,0.01
0.05,-0.35,0.01
0.15,-0.35,0.01
0.25,-0.35,0.01
0.35,-0.35,0.01
0.45,-0.35,0.01
0.55,-0.35,0.01
0.65,-0.35,0.01
0.75,-0.35,0.01
0.85,-0.35,0.01
0.95,-0.35,0.01
0.05,-0.25,0.01
0.15,-0.25,0.01
0.25,-0.25,0.01
0.35,-0.25,0.01
0.45,-0.25,0.01
0.55,-0.25,0.01
0.65,-0.25,0.01
0.75,-0.25,0.01
0.85,-0.25,0.01
0.95,-0.25,0.01
0.05,-0.15,0.01
0.15,-0.15,0.01
0.25,-0.15,0.01
0.35,-0.15,0.01
0.45,-0.15,0.01
0.55,-0.15,0.01
0.65,-0.15,0.01
0.75,-0.15,0.01
0.85,-0.15,0.01
0.95,-0.15,0.01
0.05,-0.05,0.01
0.15,-0.05,0.01
0.25,-0.05,0.01
0.35,-0.05,0.01
0.45,-0.05,0.01
0.55,-0.05,0.01
0.65,-0.05,0.01
0.75,-0.05,0.01
0.85,-0.05,0.01
0.95,-0.05,0.01
0.05,0.05,0.01
0.15,0.05,0.01
0.25,0.05,0.01
0.35,0.05,0.01
0.45,0.05,0.01
0.55,0.05,0.01
0.65,0.05,0.01
0.75,0.05,0.01
0.85,0.05,0.01
0.95,0.05,0.01
0.05,0.15,0.01
0.15,0.15,0.01
0.25,0.15,0.01
0.35,0.15,0.01
0.45,0.15,0.01
0.55,0.15,0.01
0.65,0.15,0.01
0.75,0.15,0.01
0.85,0.15,0.01
0.95,0.15,0.01
0.05,0.25,0.01
0.15,0.25,0.01
0.25,0.25,0.01
0.35,0.25,0.01
0.45,0.25,0.01
0.55,0.25,0.01
0.65,0.25,0.01
0.75,0.25,0.01
0.85,0.25,0.01
0.95,0.25,0.01
0.05,0.35,0.01
0.15,0.35,0.01
0.25,0.35,0.01
0.35,0.35,0.01
0.45,0.35,0.01
0.55,0.35,0.01
0.65,0.35,0.01
0.75,0.35,0.01
0.85,0.35,0.01
0.95,0.35,0.01
0.05,0.45,0.01
0.15,0.45,0.01
0.25,0.45,0.01
0.35,0.45,0.01
0.45,0.45,0.01
0.55,0.45,0.01
0.65,0.45,0.01
0.75,0.45,0.01
0.85,0.45,0.01
0.95,0.45,0.01
0.05,0.55,0.01
0.15,0.55,0.01
0.25,0.55,0.01
0.35,0.55,0.01
0.45,0.55,0.01
0.55,0.55,0.01
0.65,0.55,0.01
0.75,0.55,0.01
0.85,0.55,0.01
0.95,0.55,0.01
0.05,0.65,0.01
0.15,0.65,0.01
0.25,0.65,0.01
0.35,0.65,0.01
0.45,0.65,0.01
0.55,0.65,0.01
0.65,0.65,0.01
0.75,0.65,0.01
0.85,0.65,0.01
0.95,0.65,0.01
0.05,0.75,0.01
0.15,0.75,0.01
0.25,0.75,0.01
0.35,0.75,0.01
0.45,0.75,0.01
0.55,0.75,0.01
0.65,0.75,0.01
0.75,0.75,0.01
0.85,0.75,0.01
0.95,0.75,0.01
0.05,0.85,0.01
0.15,0.85,0.01
0.25,0.85,0.01
0.35,0.85,0.01
0.45,0.85,0.01
0.55,0.85,0.01
0.65,0.85,0.01
0.75,0.85,0.01
0.85,0.85,0.01
0.95,0.85,0.01
0.05,0.95,0.01
0.15,0.95,0.01
0.25,0.95,0.01
0.35,0.95,0.01
0.45,0.95,0.01
0.55,0.95,0.01
0.65,0.95,0.01
0.75,0.95,0.01
0.85,0.95,0.01
0.95,0.95,0.01
0.05,-0.95,0.02
0.15,-0.95,0.02
0.25,-0.95,0.02
0.35,-0.95,0.02
0.45,-0.95,0.02
0.55,-0.95,0.02
0.65,-0.95,0.02
0.75,-0.95,0.02
0.85,-0.95,0.02
0.95,-0.95,0.02
0.05,-0.85,0.02
0.15,-0.85,0.02
0.25,-0.85,0.02
0.35,-0.85,0.02
0.45,-0.85,0.02
0.55,-0.85,0.02
0.65,-0.85,0.02
0.75,-0.85,0.02
0.85,-0.85,0.02
0.95,-0.85,0.02
0.05,-0.75,0.02
0.15,-0.75,0.02
0.25,-0.75,0.02
0.35,-0.75,0.02
0.45,-0.75,0.02
0.55,-0.75,0.02
0.65,-0.75,0.02
