Variable_0,Variable_1,Variable_2
0.0,-1.0,0.0
0.11111111,-1.0,0.0
0.22222222,-1.0,0.0
0.33333334,-1.0,0.0
0.44444445,-1.0,0.0
0.5555556,-1.0,0.0
0.6666666,-1.0,0.0
0.7777778,-1.0,0.0
0.8888889,-1.0,0.0
1.0,-1.0,0.0
0.0,-0.7777778,0.0
0.11111111,-0.7777778,0.0
0.22222222,-0.7777778,0.0
0.33333334,-0.7777778,0.0
0.44444445,-0.7777778,0.0
0.5555556,-0.7777778,0.0
0.6666666,-0.7777778,0.0
0.7777778,-0.7777778,0.0
0.8888889,-0.7777778,0.0
1.0,-0.7777778,0.0
0.0,-0.5555556,0.0
0.11111111,-0.5555556,0.0
0.22222222,-0.5555556,0.0
0.33333334,-0.5555556,0.0
0.44444445,-0.5555556,0.0
0.5555556,-0.5555556,0.0
0.6666666,-0.5555556,0.0
0.7777778,-0.5555556,0.0
0.8888889,-0.5555556,0.0
1.0,-0.5555556,0.0
0.0,-0.3333333,0.0
0.11111111,-0.3333333,0.0
0.22222222,-0.3333333,0.0
0.33333334,-0.3333333,0.0
0.44444445,-0.3333333,0.0
0.5555556,-0.3333333,0.0
0.6666666,-0.3333333,0.0
0.7777778,-0.3333333,0.0
0.8888889,-0.3333333,0.0
1.0,-0.3333333,0.0
0.0,-0.111111104,0.0
0.11111111,-0.111111104,0.0
0.22222222,-0.111111104,0.0
0.33333334,-0.111111104,0.0
0.44444445,-0.111111104,0.0
0.5555556,-0.111111104,0.0
0.6666666,-0.111111104,0.0
0.7777778,-0.111111104,0.0
0.8888889,-0.111111104,0.0
1.0,-0.111111104,0.0
0.0,0.111111164,0.0
0.11111111,0.111111164,0.0
0.22222222,0.111111164,0.0
0.33333334,0.111111164,0.0
0.44444445,0.111111164,0.0
0.5555556,0.111111164,0.0
0.6666666,0.111111164,0.0
0.7777778,0.111111164,0.0
0.8888889,0.111111164,0.0
1.0,0.111111164,0.0
0.0,0.33333325,0.0
0.11111111,0.33333325,0.0
0.22222222,0.33333325,0.0
0.33333334,0.33333325,0.0
